

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
298.028  001.271  000.488: require('neogit.buffers.commit_view.ui')
299.088  001.059  001.059: require('neogit.popups')
299.107  003.642  000.982: require('neogit.buffers.commit_view')
299.858  000.748  000.748: require('neogit.lib.functional')
300.223  000.362  000.362: require('neogit.lib.line_buffer')
300.770  000.543  000.543: require('neogit.lib.fs')
301.224  000.448  000.448: require('neogit.watcher')
301.575  000.348  000.348: require('neogit.operations')
301.644  030.723  000.859: require('neogit.status')
301.650  031.088  000.366: require('neogit.autocmds')
302.856  000.455  000.455: require('neogit.lib.color')
302.861  001.209  000.753: require('neogit.lib.hl')
303.238  000.375  000.375: require('neogit.lib.state')
305.160  000.460  000.460: require('neogit.lib.popup.builder')
305.280  001.676  001.216: require('neogit.lib.popup')
305.285  002.026  000.350: require('neogit.lib')
313.187  000.870  000.870: sourcing /home/kenj/.local/share/nvim/lazy/vim-easy-align/plugin/easy_align.vim
315.456  000.519  000.519: sourcing /home/kenj/.local/share/nvim/lazy/winbar.nvim/plugin/winbar.lua
317.476  000.394  000.394: require('winbar.config')
317.486  001.972  001.578: require('winbar')
321.785  000.521  000.521: sourcing /home/kenj/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
324.633  002.233  002.233: require('nvim-web-devicons.icons-default')
324.888  007.037  004.283: require('nvim-web-devicons')
325.372  000.480  000.480: require('winbar.utils')
373.066  055.561  048.045: require('winbar.winbar')
375.931  000.424  000.424: require('bufferline.lazy')
376.487  000.534  000.534: require('bufferline.commands')
377.478  000.978  000.978: require('bufferline.config')
377.498  004.019  002.082: require('bufferline')
378.460  000.960  000.960: require('bufferline.utils')
379.546  001.083  001.083: require('vim.version')
383.978  002.031  002.031: require('bufferline.groups')
384.872  000.855  000.855: require('bufferline.constants')
385.304  000.415  000.415: require('bufferline.colors')
386.496  000.661  000.661: require('bufferline.highlights')
389.397  001.847  001.847: require('bufferline.hover')
390.426  000.875  000.875: require('bufferline.ui')
394.375  000.519  000.519: require('auto-session.logger')
394.403  001.143  000.624: require('auto-session.lib')
394.829  000.424  000.424: require('auto-session.autocmds')
394.889  003.727  002.160: require('auto-session')
396.095  000.421  000.421: require('auto-session.session-lens.library')
396.669  000.569  000.569: require('auto-session.session-lens.actions')
396.693  001.783  000.793: require('auto-session.session-lens')
401.093  000.759  000.759: require('telescope._extensions.session-lens.session-lens-library')
401.743  000.643  000.643: require('telescope._extensions.session-lens.session-lens-actions')
402.516  000.768  000.768: require('telescope.themes')
402.528  004.401  002.231: require('telescope._extensions.session-lens.main')
402.581  004.975  000.574: sourcing /home/kenj/.local/share/nvim/lazy/session-lens/plugin/session-lens.vim
403.211  000.555  000.555: require('session-lens')
404.287  000.484  000.484: sourcing /home/kenj/.local/share/nvim/lazy/nvim-colorizer.lua/plugin/colorizer.vim
408.224  001.589  001.589: require('colorizer/nvim')
409.751  001.520  001.520: require('colorizer/trie')
409.920  005.578  002.469: require('colorizer')
412.740  000.547  000.547: sourcing /home/kenj/.local/share/nvim/lazy/vim-commentary/plugin/commentary.vim
414.210  000.535  000.535: sourcing /home/kenj/.local/share/nvim/lazy/vim-ruby/ftdetect/ruby.vim
414.740  000.441  000.441: sourcing /home/kenj/.local/share/nvim/lazy/vim-ruby/ftdetect/ruby_extra.vim
416.420  000.685  000.685: sourcing /home/kenj/.local/share/nvim/lazy/hop.nvim/plugin/hop.vim
418.560  002.111  002.111: require('hop')
419.412  000.390  000.390: require('hop.perm')
419.770  000.354  000.354: require('hop.priority')
419.775  001.210  000.465: require('hop.hint')
420.108  000.330  000.330: require('hop.defaults')
420.465  000.352  000.352: require('hop.highlight')
422.654  000.384  000.384: require('scrollbar.const')
423.071  000.413  000.413: require('scrollbar.utils')
423.747  000.673  000.673: require('scrollbar.handlers')
423.753  002.877  001.408: require('scrollbar')
424.130  000.375  000.375: require('scrollbar.config')
424.789  000.392  000.392: require('scrollbar.handlers.cursor')
425.226  000.414  000.414: require('scrollbar.handlers.diagnostic')
427.893  002.174  002.174: sourcing /home/kenj/.local/share/nvim/lazy/vim-rails/plugin/rails.vim
432.743  004.369  004.369: sourcing /home/kenj/.local/share/nvim/lazy/vim-wakatime/plugin/wakatime.vim
437.857  001.464  001.464: require('tailwindcss-colorizer-cmp')
439.178  000.405  000.405: sourcing /home/kenj/.local/share/nvim/lazy/copilot.lua/plugin/copilot.lua
440.966  000.354  000.354: require('copilot.config')
441.331  000.361  000.361: require('copilot.highlight')
441.334  002.097  001.383: require('copilot')
442.302  000.391  000.391: require('copilot.api')
443.183  000.464  000.464: require('copilot.util')
443.190  000.884  000.420: require('copilot.client')
443.194  001.674  000.398: require('copilot.command')
444.410  000.559  000.559: require('copilot.panel')
446.182  001.766  001.766: require('copilot.suggestion')
447.504  000.349  000.349: require('copilot_cmp.source')
447.835  000.327  000.327: require('copilot_cmp.capabilities')
447.840  001.594  000.918: require('copilot_cmp')
448.208  000.340  000.340: require('lazyvim.util.lsp')
451.369  000.667  000.667: require('cmp.utils.api')
452.388  000.342  000.342: require('cmp.types.cmp')
453.185  000.406  000.406: require('cmp.utils.misc')
453.254  000.862  000.456: require('cmp.types.lsp')
453.665  000.409  000.409: require('cmp.types.vim')
453.668  002.296  000.683: require('cmp.types')
454.052  000.382  000.382: require('cmp.utils.highlight')
454.744  000.338  000.338: require('cmp.utils.debug')
454.772  000.718  000.380: require('cmp.utils.autocmd')
455.294  004.977  000.915: sourcing /home/kenj/.local/share/nvim/lazy/nvim-cmp/plugin/cmp.lua
457.059  000.412  000.412: require('cmp.utils.char')
457.067  000.783  000.371: require('cmp.utils.str')
458.130  000.329  000.329: require('cmp.utils.buffer')
458.137  000.707  000.378: require('cmp.utils.keymap')
458.141  001.072  000.365: require('cmp.utils.feedkeys')
460.045  001.021  001.021: require('cmp.config.mapping')
460.512  000.463  000.463: require('cmp.utils.cache')
461.289  000.381  000.381: require('cmp.config.compare')
461.292  000.776  000.395: require('cmp.config.default')
461.313  002.749  000.489: require('cmp.config')
461.328  003.186  000.437: require('cmp.utils.async')
462.072  000.380  000.380: require('cmp.utils.pattern')
462.077  000.746  000.366: require('cmp.context')
463.345  000.393  000.393: require('cmp.matcher')
463.353  000.851  000.458: require('cmp.entry')
463.362  001.284  000.433: require('cmp.source')
464.119  000.352  000.352: require('cmp.utils.event')
466.262  000.339  000.339: require('cmp.utils.options')
466.270  000.787  000.448: require('cmp.utils.window')
466.273  002.151  001.364: require('cmp.view.docs_view')
466.800  000.526  000.526: require('cmp.view.custom_entries_view')
467.272  000.468  000.468: require('cmp.view.wildmenu_entries_view')
467.680  000.405  000.405: require('cmp.view.native_entries_view')
468.096  000.412  000.412: require('cmp.view.ghost_text_view')
468.109  004.746  000.432: require('cmp.view')
468.815  013.014  001.198: require('cmp.core')
469.807  000.855  000.855: require('cmp.config.sources')
470.193  000.381  000.381: require('cmp.config.window')
470.264  014.928  000.678: require('cmp')
471.411  038.127  008.323: require('cmp')
474.995  001.976  001.976: sourcing /home/kenj/.local/share/nvim/lazy/emmet-vim/plugin/emmet.vim
477.282  002.004  002.004: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/editorconfig.lua
477.404  000.034  000.034: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/health.vim
477.775  000.282  000.282: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/man.lua
479.240  000.793  000.793: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
479.461  001.612  000.819: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/matchit.vim
479.740  000.183  000.183: sourcing /tmp/.mount_nvim4jnDlE/usr/share/nvim/runtime/plugin/matchparen.vim
